Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 10000 41 1633
0.010000 10000 37 1558
0.010000 10000 33 1617
0.010000 10000 40 1632
0.010000 10000 45 1590
0.010000 10000 33 1648
0.010000 10000 32 1633
0.010000 10000 33 1546
0.010000 10000 31 1645
0.010000 10000 38 1635
0.010000 10000 28 1664
0.010000 10000 34 1598
0.010000 10000 39 1629
0.010000 10000 29 1576
0.010000 10000 34 1648
0.010000 10000 35 1603
0.010000 10000 57 1622
0.010000 10000 32 1639
0.010000 10000 36 1620
0.010000 10000 33 1589
0.010000 10000 34 1662
0.010000 10000 36 1614
0.010000 10000 34 1583
0.010000 10000 36 1632
0.010000 10000 34 1574
0.010000 10000 42 1586
0.010000 10000 32 1582
0.010000 10000 34 1602
0.010000 10000 39 1644
0.010000 10000 33 1605
0.010000 10000 35 1586
0.010000 10000 39 1628
0.010000 10000 39 1618
0.010000 10000 35 1630
0.010000 10000 36 1639
0.010000 10000 38 1571
0.010000 10000 35 1599
0.010000 10000 42 1610
0.010000 10000 33 1610
0.010000 10000 27 1595
0.010000 10000 31 1575
0.010000 10000 36 1603
0.010000 10000 33 1644
0.010000 10000 36 1604
0.010000 10000 42 1593
0.010000 10000 30 1617
0.010000 10000 33 1563
0.010000 10000 38 1597
0.010000 10000 32 1610
0.010000 10000 41 1558
0.010000 10000 37 1631
0.010000 10000 41 1547
0.010000 10000 34 1602
0.010000 10000 33 1634
0.010000 10000 33 1640
0.010000 10000 39 1640
0.010000 10000 33 1615
0.010000 10000 31 1590
0.010000 10000 35 1624
0.010000 10000 31 1584
0.010000 10000 35 1628
0.010000 10000 32 1631
0.010000 10000 30 1625
0.010000 10000 33 1639
0.010000 10000 38 1593
0.010000 10000 31 1647
0.010000 10000 31 1636
0.010000 10000 40 1634
0.010000 10000 28 1627
0.010000 10000 43 1608
0.010000 10000 37 1614
0.010000 10000 38 1591
0.010000 10000 31 1588
0.010000 10000 34 1603
0.010000 10000 41 1575
0.010000 10000 38 1642
0.010000 10000 33 1656
0.010000 10000 38 1629
0.010000 10000 33 1628
0.010000 10000 36 1662
0.010000 10000 35 1586
0.010000 10000 36 1644
0.010000 10000 41 1600
0.010000 10000 37 1652
0.010000 10000 36 1570
0.010000 10000 33 1587
0.010000 10000 29 1620
0.010000 10000 34 1701
0.010000 10000 43 1548
0.010000 10000 30 1591
0.010000 10000 34 1548
0.010000 10000 31 1642
0.010000 10000 28 1613
0.010000 10000 37 1587
0.010000 10000 30 1615
0.010000 10000 29 1638
0.010000 10000 41 1559
0.010000 10000 32 1597
0.010000 10000 34 1604
0.010000 10000 34 1560
