Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 1000 68 113
0.010000 1000 105 118
0.010000 1000 56 131
0.010000 1000 72 111
0.010000 1000 63 108
0.010000 1000 95 113
0.010000 1000 69 112
0.010000 1000 58 118
0.010000 1000 65 122
0.010000 1000 50 111
0.010000 1000 74 114
0.010000 1000 80 118
0.010000 1000 40 127
0.010000 1000 74 116
0.010000 1000 69 100
0.010000 1000 56 125
0.010000 1000 53 108
0.010000 1000 57 103
0.010000 1000 100 99
0.010000 1000 63 110
0.010000 1000 59 124
0.010000 1000 60 121
0.010000 1000 63 138
0.010000 1000 62 130
0.010000 1000 58 111
0.010000 1000 53 96
0.010000 1000 49 111
0.010000 1000 58 137
0.010000 1000 70 121
0.010000 1000 62 116
0.010000 1000 51 111
0.010000 1000 79 135
0.010000 1000 42 130
0.010000 1000 61 120
0.010000 1000 54 111
0.010000 1000 68 118
0.010000 1000 46 114
0.010000 1000 45 123
0.010000 1000 46 127
0.010000 1000 85 124
0.010000 1000 61 124
0.010000 1000 82 142
0.010000 1000 70 94
0.010000 1000 60 120
0.010000 1000 58 114
0.010000 1000 45 118
0.010000 1000 53 113
0.010000 1000 79 103
0.010000 1000 73 114
0.010000 1000 55 121
0.010000 1000 72 122
0.010000 1000 46 122
0.010000 1000 54 109
0.010000 1000 54 103
0.010000 1000 66 108
0.010000 1000 91 118
0.010000 1000 56 118
0.010000 1000 60 100
0.010000 1000 48 127
0.010000 1000 65 122
0.010000 1000 78 125
0.010000 1000 86 108
0.010000 1000 61 120
0.010000 1000 48 116
0.010000 1000 66 118
0.010000 1000 61 106
0.010000 1000 83 106
0.010000 1000 57 108
0.010000 1000 65 123
0.010000 1000 70 103
0.010000 1000 82 97
0.010000 1000 52 134
0.010000 1000 65 106
0.010000 1000 66 109
0.010000 1000 61 116
0.010000 1000 74 97
0.010000 1000 51 114
0.010000 1000 60 99
0.010000 1000 64 140
0.010000 1000 54 122
0.010000 1000 89 114
0.010000 1000 86 103
0.010000 1000 62 112
0.010000 1000 54 106
0.010000 1000 52 124
0.010000 1000 76 123
0.010000 1000 63 134
0.010000 1000 57 100
0.010000 1000 98 124
0.010000 1000 63 112
0.010000 1000 62 106
0.010000 1000 53 112
0.010000 1000 92 102
0.010000 1000 87 99
0.010000 1000 57 114
0.010000 1000 64 103
0.010000 1000 52 132
0.010000 1000 72 102
0.010000 1000 74 128
0.010000 1000 44 122
