Probabilidade N TamanhoMaximo NumeroDeFalhas
0.150000 1000 9 1506
0.150000 1000 10 1476
0.150000 1000 9 1498
0.150000 1000 9 1509
0.150000 1000 9 1510
0.150000 1000 9 1510
0.150000 1000 8 1545
0.150000 1000 11 1510
0.150000 1000 10 1527
0.150000 1000 9 1470
0.150000 1000 12 1483
0.150000 1000 11 1531
0.150000 1000 11 1526
0.150000 1000 8 1505
0.150000 1000 10 1429
0.150000 1000 10 1473
0.150000 1000 8 1550
0.150000 1000 10 1516
0.150000 1000 9 1439
0.150000 1000 9 1539
0.150000 1000 9 1447
0.150000 1000 10 1489
0.150000 1000 7 1487
0.150000 1000 11 1527
0.150000 1000 9 1561
0.150000 1000 8 1540
0.150000 1000 8 1452
0.150000 1000 16 1442
0.150000 1000 11 1525
0.150000 1000 11 1470
0.150000 1000 11 1566
0.150000 1000 8 1504
0.150000 1000 12 1494
0.150000 1000 11 1590
0.150000 1000 10 1445
0.150000 1000 9 1570
0.150000 1000 10 1475
0.150000 1000 10 1467
0.150000 1000 10 1465
0.150000 1000 10 1520
0.150000 1000 8 1471
0.150000 1000 7 1466
0.150000 1000 8 1509
0.150000 1000 9 1490
0.150000 1000 11 1465
0.150000 1000 10 1438
0.150000 1000 10 1492
0.150000 1000 10 1559
0.150000 1000 9 1512
0.150000 1000 10 1495
0.150000 1000 9 1458
0.150000 1000 8 1493
0.150000 1000 10 1492
0.150000 1000 8 1451
0.150000 1000 9 1502
0.150000 1000 9 1507
0.150000 1000 12 1538
0.150000 1000 10 1457
0.150000 1000 10 1517
0.150000 1000 10 1498
0.150000 1000 8 1512
0.150000 1000 10 1473
0.150000 1000 8 1497
0.150000 1000 8 1475
0.150000 1000 10 1480
0.150000 1000 9 1514
0.150000 1000 10 1562
0.150000 1000 9 1549
0.150000 1000 10 1448
0.150000 1000 9 1532
0.150000 1000 8 1539
0.150000 1000 8 1510
0.150000 1000 9 1447
0.150000 1000 12 1540
0.150000 1000 9 1487
0.150000 1000 8 1481
0.150000 1000 9 1512
0.150000 1000 10 1467
0.150000 1000 13 1564
0.150000 1000 9 1488
0.150000 1000 8 1499
0.150000 1000 11 1504
0.150000 1000 8 1401
0.150000 1000 9 1467
0.150000 1000 10 1450
0.150000 1000 11 1495
0.150000 1000 9 1515
0.150000 1000 9 1473
0.150000 1000 8 1498
0.150000 1000 11 1477
0.150000 1000 10 1457
0.150000 1000 8 1531
0.150000 1000 9 1478
0.150000 1000 9 1488
0.150000 1000 9 1478
0.150000 1000 11 1500
0.150000 1000 10 1480
0.150000 1000 9 1479
0.150000 1000 9 1521
0.150000 1000 7 1524
