Probabilidade N TamanhoMaximo NumeroDeFalhas
0.010000 3000 288 45135
0.010000 3000 281 44933
0.010000 3000 300 45182
0.010000 3000 293 44718
0.010000 3000 479 44853
0.010000 3000 342 44659
0.010000 3000 300 45138
0.010000 3000 328 45161
0.010000 3000 479 44586
0.010000 3000 497 44778
0.010000 3000 541 45162
0.010000 3000 280 44718
0.010000 3000 355 44982
0.010000 3000 254 45261
0.010000 3000 310 44805
0.010000 3000 296 44443
0.010000 3000 356 44728
0.010000 3000 318 44913
0.010000 3000 373 44765
0.010000 3000 313 44815
0.010000 3000 478 45075
0.010000 3000 409 45240
0.010000 3000 309 44874
0.010000 3000 542 45022
0.010000 3000 244 44796
0.010000 3000 530 44912
0.010000 3000 354 44711
0.010000 3000 376 44827
0.010000 3000 791 44856
0.010000 3000 465 44722
0.010000 3000 372 45172
0.010000 3000 371 44569
0.010000 3000 389 44876
0.010000 3000 358 45011
0.010000 3000 366 44915
0.010000 3000 490 45027
0.010000 3000 332 44767
0.010000 3000 337 44738
0.010000 3000 265 44847
0.010000 3000 513 44750
0.010000 3000 410 44679
0.010000 3000 244 44996
0.010000 3000 530 44950
0.010000 3000 513 45005
0.010000 3000 346 44925
0.010000 3000 337 45433
0.010000 3000 326 44860
0.010000 3000 361 45057
0.010000 3000 479 45039
0.010000 3000 1012 45458
0.010000 3000 387 45185
0.010000 3000 331 45356
0.010000 3000 323 44777
0.010000 3000 311 45034
0.010000 3000 421 44744
0.010000 3000 460 44800
0.010000 3000 397 44964
0.010000 3000 303 44503
0.010000 3000 520 44671
0.010000 3000 319 45306
0.010000 3000 295 45006
0.010000 3000 692 44907
0.010000 3000 453 44763
0.010000 3000 494 44960
0.010000 3000 387 45077
0.010000 3000 535 44883
0.010000 3000 246 44670
0.010000 3000 476 44745
0.010000 3000 325 45023
0.010000 3000 271 44882
0.010000 3000 413 44597
0.010000 3000 629 44828
0.010000 3000 395 45607
0.010000 3000 374 44752
0.010000 3000 675 44827
0.010000 3000 294 44664
0.010000 3000 463 44555
0.010000 3000 261 44976
0.010000 3000 372 44786
0.010000 3000 301 45132
0.010000 3000 651 44759
0.010000 3000 404 44754
0.010000 3000 225 44734
0.010000 3000 490 44845
0.010000 3000 511 45104
0.010000 3000 507 44648
0.010000 3000 231 44683
0.010000 3000 580 44769
0.010000 3000 286 45050
0.010000 3000 312 44540
0.010000 3000 576 45320
0.010000 3000 324 45021
0.010000 3000 325 44892
0.010000 3000 493 44978
0.010000 3000 180 44844
0.010000 3000 427 44931
0.010000 3000 517 44814
0.010000 3000 372 44962
0.010000 3000 351 45059
0.010000 3000 412 44841
